assunto  cuidados de saude	ass=cuidados de saude%
assunto saude publica	ass=saude publica%
assunto enfermagem comunitaria	ass=enfermagem comunitaria%
assunto modelos conceptuais	ass=modelos conceptuais%
assunto modelos sistemicos	ass=modelos sistemicos%
assunto teorias	ass=teorias%
assunto sitema de omaha	ass=sitema de omaha%
assunto mulher	ass=mulher%
assunto cuidados prenatais	ass=cuidados prenatais%
assunto mama	ass=mama%
assunto aborto	ass=aborto%
assunto bioetica	ass=bioetica%
assunto substancias legais	ass=substancias legais%
assunto substancia ilegais	ass=substancia ilegais%
assunto saude	ass=saude%
assunto familia	ass=familia%
assunto tratamento	ass=tratamento%
assunto prevencao	ass=prevencao%
assunto acidente vascular cerebral	ass=acidente vascular cerebral%
assunto regresso a casa	ass=regresso a casa%
assunto reabilitacao	ass=reabilitacao%
assunto acinetobacter	ass=acinetobacter%
assunto resistencias	ass=resistencias%
assunto acolhimento	ass=acolhimento%
assunto doente dependente	ass=doente dependente%
assunto doente neurologico	ass=doente neurologico%
assunto preparacao para a alta	ass=preparacao para a alta%
assunto actividade de vida	ass=actividade de vida%
assunto alimentacao	ass=alimentacao%
assunto hospitalizacao	ass=hospitalizacao%
assunto intervencoes de enfermagem	ass=intervencoes de enfermagem%
assunto adesao a terapeutica	ass=adesao a terapeutica%
assunto processo farmaceutico	ass=processo farmaceutico%
assunto biodisponibilidade dos medicamentos	ass=biodisponibilidade dos medicamentos%
assunto bioequivalencia dos medicamentos	ass=bioequivalencia dos medicamentos%
assunto adesao terapeutica	ass=adesao terapeutica%
assunto medicacao	ass=medicacao%
assunto doenca cardiaca	ass=doenca cardiaca%
assunto administracao da medicacao	ass=administracao da medicacao%
assunto seguranca do doente	ass=seguranca do doente%
assunto administracao de medicacao	ass=administracao de medicacao%
assunto seguracao do doente	ass=seguracao do doente%
assunto adolescencia	ass=adolescencia%
assunto doencas sexulamente transmissiveis	ass=doencas sexulamente transmissiveis%
assunto preservativos	ass=preservativos%
assunto obesidade	ass=obesidade%
assunto exercicio fisico	ass=exercicio fisico%
assunto recursos de atendimento	ass=recursos de atendimento%
assunto adulto	ass=adulto%
assunto hipotermia	ass=hipotermia%
assunto cirurgia preoperatoria	ass=cirurgia preoperatoria%
assunto ajustamento emocinal	ass=ajustamento emocinal%
assunto coping	ass=coping%
assunto alcoolismo	ass=alcoolismo%
assunto toxicodependencia	ass=toxicodependencia%
assunto alcool	ass=alcool%
assunto habitos alimentares	ass=habitos alimentares%
assunto aleitamento materno	ass=aleitamento materno%
assunto prevalencia	ass=prevalencia%
assunto factores condicionantes	ass=factores condicionantes%
assunto alergia	ass=alergia%
assunto dermatite por contacto	ass=dermatite por contacto%
assunto alergia as caneleiras	ass=alergia as caneleiras%
assunto alginato de calcio	ass=alginato de calcio%
assunto crianca	ass=crianca%
assunto alzheimer	ass=alzheimer%
assunto demencia	ass=demencia%
assunto cuidador informal	ass=cuidador informal%
assunto amamentacao	ass=amamentacao%
assunto restricoes alimentares	ass=restricoes alimentares%
assunto gravidez	ass=gravidez%
assunto escala	ass=escala%
assunto motivacao	ass=motivacao%
assunto ambiente hospitalar	ass=ambiente hospitalar%
assunto qualidade dos cuidados	ass=qualidade dos cuidados%
assunto ameacas ambientais	ass=ameacas ambientais%
assunto domicilio	ass=domicilio%
assunto exposicao ao chumbo	ass=exposicao ao chumbo%
assunto compostos organicos volateis	ass=compostos organicos volateis%
assunto radao	ass=radao%
assunto pesticidas	ass=pesticidas%
assunto campos electricos	ass=campos electricos%
assunto campos magneticos	ass=campos magneticos%
assunto alojamento	ass=alojamento%
assunto habitacao	ass=habitacao%
assunto cuidados domiciliarios	ass=cuidados domiciliarios%
assunto enfermagem domiciliaria	ass=enfermagem domiciliaria%
assunto toxinas	ass=toxinas%
assunto anestesicos inalatorios	ass=anestesicos inalatorios%
assunto anestesia	ass=anestesia%
assunto cirurgia	ass=cirurgia%
assunto ansiedade	ass=ansiedade%
assunto visita preopearatoria	ass=visita preopearatoria%
assunto catarata	ass=catarata%
assunto tensao arterial	ass=tensao arterial%
assunto frequencia cardiaca	ass=frequencia cardiaca%
assunto psiquiatria	ass=psiquiatria%
assunto antibacterianos	ass=antibacterianos%
assunto pe diabetico	ass=pe diabetico%
assunto anticoagulantes orais	ass=anticoagulantes orais%
assunto anticoagulacao	ass=anticoagulacao%
assunto antimicrobiana	ass=antimicrobiana%
assunto antiseptica	ass=antiseptica%
assunto infeccao	ass=infeccao%
assunto feridas	ass=feridas%
assunto antimicrobianos	ass=antimicrobianos%
assunto ulcera da perna	ass=ulcera da perna%
assunto escara	ass=escara%
assunto colonizacao	ass=colonizacao%
assunto antipsicoticos	ass=antipsicoticos%
assunto idoso	ass=idoso%
assunto apoio respiratorio no domicilio	ass=apoio respiratorio no domicilio%
assunto ventilador	ass=ventilador%
assunto transferencia	ass=transferencia%
assunto funcionamento do ventilador	ass=funcionamento do ventilador%
assunto aptidao fisica	ass=aptidao fisica%
assunto nicola j. pretty	ass=nicola j. pretty%
assunto articulacao	ass=articulacao%
assunto funcao articular	ass=funcao articular%
assunto disfuncao articular	ass=disfuncao articular%
assunto sistema neuromusculoesqueletico	ass=sistema neuromusculoesqueletico%
assunto artrite reumatoide	ass=artrite reumatoide%
assunto necessidades educacionais	ass=necessidades educacionais%
assunto avaliacao	ass=avaliacao%
assunto artroplastia total do joelho	ass=artroplastia total do joelho%
assunto mobilidade	ass=mobilidade%
assunto enfermeiro de reabilitacao	ass=enfermeiro de reabilitacao%
assunto asma	ass=asma%
assunto factores de risco	ass=factores de risco%
assunto sibilancia recorrente	ass=sibilancia recorrente%
assunto assistencia ventricular externa	ass=assistencia ventricular externa%
assunto cuidados de enfermagem	ass=cuidados de enfermagem%
assunto bomba pneumatica thoratec	ass=bomba pneumatica thoratec%
assunto associacao de estudantes de enfermagem	ass=associacao de estudantes de enfermagem%
assunto enfermagem	ass=enfermagem%
assunto associacao portuguesa dos enfermeiros gestores e lideranca	ass=associacao portuguesa dos enfermeiros gestores e lideranca%
assunto enfermeiro gestor	ass=enfermeiro gestor%
assunto autismo	ass=autismo%
assunto risperidona	ass=risperidona%
assunto hiperprolactinemia	ass=hiperprolactinemia%
assunto antipsicoticos atipicos	ass=antipsicoticos atipicos%
assunto autoconceito	ass=autoconceito%
assunto autoestima	ass=autoestima%
assunto autoimagem	ass=autoimagem%
assunto autocuidado	ass=autocuidado%
assunto incapacidade funcional	ass=incapacidade funcional%
assunto dependencia	ass=dependencia%
assunto autonomia	ass=autonomia%
assunto enfermeiro	ass=enfermeiro%
assunto dinamicas das praticas	ass=dinamicas das praticas%
assunto narrativa	ass=narrativa%
assunto responabilidade	ass=responabilidade%
assunto identidade	ass=identidade%
assunto exercicio profissional	ass=exercicio profissional%
assunto autonomia profissional	ass=autonomia profissional%
assunto metodologia tradicional de walker e avant	ass=metodologia tradicional de walker e avant%
assunto metodologia tradicional	ass=metodologia tradicional%
assunto analise do conceito	ass=analise do conceito%
assunto avaliacao de desempenho	ass=avaliacao de desempenho%
assunto gestao em enfermagem	ass=gestao em enfermagem%
assunto enfermagem nefrologica	ass=enfermagem nefrologica%
assunto avaliacao de impacte	ass=avaliacao de impacte%
assunto sistemas de saude	ass=sistemas de saude%
assunto promocao da saude	ass=promocao da saude%
assunto estilos de vida saudaveis	ass=estilos de vida saudaveis%
assunto saude mental	ass=saude mental%
assunto avaliacao funcional	ass=avaliacao funcional%
assunto indice de barthel	ass=indice de barthel%
assunto indice de lawton	ass=indice de lawton%
assunto validacao psicometrica	ass=validacao psicometrica%
assunto avaliacao neuropsicologica	ass=avaliacao neuropsicologica%
assunto avc	ass=avc%
assunto disfuncao neurologica	ass=disfuncao neurologica%
assunto esclerose multipla	ass=esclerose multipla%
assunto avaliacao do risco	ass=avaliacao do risco%
assunto bexiga neurogenica	ass=bexiga neurogenica%
assunto polineuropatia amiloidotica familiar	ass=polineuropatia amiloidotica familiar%
assunto ensino de enfermagem	ass=ensino de enfermagem%
assunto diginidade humana	ass=diginidade humana%
assunto fertilizacao in vitro	ass=fertilizacao in vitro%
assunto procriacao medicamente assistida	ass=procriacao medicamente assistida%
assunto investigacao	ass=investigacao%
assunto beneficencia	ass=beneficencia%
assunto consentimento informado	ass=consentimento informado%
assunto justica	ass=justica%
assunto cuidados intensivos	ass=cuidados intensivos%
assunto principios da bioetica	ass=principios da bioetica%
assunto jose pedro castanheira	ass=jose pedro castanheira%
assunto biografia	ass=biografia%
assunto estrutura da narrativa	ass=estrutura da narrativa%
assunto eugenismo	ass=eugenismo%
assunto bocejo	ass=bocejo%
assunto empatia	ass=empatia%
assunto teoria da mente	ass=teoria da mente%
assunto bom aluno	ass=bom aluno%
assunto educacao	ass=educacao%
assunto burnout	ass=burnout%
assunto profissional de saude	ass=profissional de saude%
assunto cancro	ass=cancro%
assunto dor	ass=dor%
assunto quimioterapia	ass=quimioterapia%
assunto cancro cervical	ass=cancro cervical%
assunto exame papanicolau	ass=exame papanicolau%
assunto cancro da mama	ass=cancro da mama%
assunto fenomenologia	ass=fenomenologia%
assunto mastectomia	ass=mastectomia%
assunto sentimentos	ass=sentimentos%
assunto crencas	ass=crencas%
assunto teste psicometrico	ass=teste psicometrico%
assunto 616.083	ass=616.083%
assunto depressao	ass=depressao%
assunto estrategias de coping	ass=estrategias de coping%
assunto cardiopatia congenita	ass=cardiopatia congenita%
assunto pratica de enfermagem	ass=pratica de enfermagem%
assunto carta de alta de enfermagem	ass=carta de alta de enfermagem%
assunto patologias neurodegenerativas	ass=patologias neurodegenerativas%
assunto comunicacao	ass=comunicacao%
assunto casuistica	ass=casuistica%
assunto pediatria	ass=pediatria%
assunto hospital privado	ass=hospital privado%
assunto cufdescobertas	ass=cufdescobertas%
assunto stress	ass=stress%
assunto socorro internacional	ass=socorro internacional%
assunto catastrofe	ass=catastrofe%
assunto preparacao	ass=preparacao%
assunto cateter implantado	ass=cateter implantado%
assunto antibioticos intravenosos	ass=antibioticos intravenosos%
assunto cateteres totalmente implantados	ass=cateteres totalmente implantados%
assunto implantofix	ass=implantofix%
assunto cateterismo venoso central	ass=cateterismo venoso central%
assunto circulacao sanguinea	ass=circulacao sanguinea%
assunto infeccoes	ass=infeccoes%
assunto cavidade horal	ass=cavidade horal%
assunto higiene	ass=higiene%
assunto centro de atendimento a jovens	ass=centro de atendimento a jovens%
assunto sexualidade	ass=sexualidade%
assunto certificacao de competencias	ass=certificacao de competencias%
assunto pratica tutelada de enfermagem	ass=pratica tutelada de enfermagem%
assunto cesariana	ass=cesariana%
assunto ingestao precoce	ass=ingestao precoce%
assunto tolerancia da dieta	ass=tolerancia da dieta%
assunto chalifour	ass=chalifour%
assunto cicatrizacao da ferida	ass=cicatrizacao da ferida%
assunto ferida	ass=ferida%
assunto conforto	ass=conforto%
assunto cicatrizes hipertroficas	ass=cicatrizes hipertroficas%
assunto queloides	ass=queloides%
assunto cirurgia de ambulatorio	ass=cirurgia de ambulatorio%
assunto consulta de enfermagem	ass=consulta de enfermagem%
assunto cirurgia plastica reconstrutiva	ass=cirurgia plastica reconstrutiva%
assunto ulceras de pressao	ass=ulceras de pressao%
assunto classificacao internacional de funcionalidade	ass=classificacao internacional de funcionalidade%
assunto organizacao mundial de saude	ass=organizacao mundial de saude%
assunto deficiencia	ass=deficiencia%
assunto cloreto de etilo	ass=cloreto de etilo%
assunto anestesia local	ass=anestesia local%
assunto codigo deontologico	ass=codigo deontologico%
assunto medico	ass=medico%
