autor bonnie jeromediemilia,"aut=jeromediemilia, bonnie%"
autor jeanette lancaster,"aut=lancaster jeanette%"
autor lois w. lowry,"aut=lowry lois w.%"
autor karen s. martin,"aut=martin, karen s.%"
autor linda corson jones,"aut=jones, linda corson%"
autor shirleen trabeaux,"aut=trabeaux, shirleen%"
autor carlo bellieni,"aut=bellieni, carlo%"
autor mary linn mathre,"aut=mathre, mary linn%"
autor miguel nunes serra,"aut=serra, miguel nunes%"
autor edgar morges,"aut=morges, edgar%"
autor leonardo oliveira,"aut=oliveira, leonardo%"
autor andrea silva,"aut=silva, andrea%"
autor ana pinto,"aut=pinto, ana%"
autor marcia carranca,"aut=carranca, marcia%"
autor marta brites,"aut=brites, marta%"
autor cristina baixinho,"aut=baixinho, cristina%"
autor odete lemos e sousa,"aut=sousa, odete lemos e%"
autor juan antonio norte carrilo,"aut=carrilo, juan antonio norte%"
autor ricardo santos,"aut=santos, ricardo%"
autor ines verdejo casado,"aut=casado, ines verdejo%"
autor ines casado verdejo,"aut=casado verdejo, ines%"
autor jose cunhaoliveira,"aut=cunhaoliveira, jose%"
autor joao rui pita,"aut=pita, joao rui%"
autor aliete cunhaoliveira,"aut=cunhaoliveira, aliete%"
autor salvador massanocardoso,"aut=massanocardoso, salvador%"
autor lauren hamel,"aut=hamel, lauren%"
autor lorraine robbins,"aut=robbins, lorraine%"
autor joellen wilbur,"aut=wilbur, joellen%"
autor hugo braga tavares,"aut=tavares, hugo braga%"
autor helena fonseca,"aut=fonseca, helena%"
autor s. moola,"aut=moola, s.%"
autor c. lockwood,"aut=lockwood, c.%"
autor carla facaia,"aut=facaia, carla%"
autor pedro vivas,"aut=vivas, pedro%"
autor anna barker,"aut=barker, anna%"
autor helder gomes,"aut=gomes, helder%"
autor leonor correia,"aut=correia, leonor%"
autor maria adriana pereira,"aut=pereira, maria adriana%"
autor maria otilia zangao,"aut=zangao, maria otilia%"
autor felismina mendes,"aut=mendes, felismina%"
autor ana oliveira,"aut=oliveira, ana%"
autor laura munoz bermejo,"aut=munoz bermejo, laura%"
autor  joao amaral,"aut=joao amaral%"
autor joao carlos machado,"aut=machado, joao carlos%"
autor catarina pinheiro,"aut=pinheiro, catarina%"
autor isadora diniz,"aut=diniz, isadora%"
autor rhaisa romanini,"aut=romanini, rhaisa%"
autor raquel ferreira,"aut=ferreira, raquel%"
autor paula alexandra nelas,"aut=nelas, paula alexandra%"
autor hsiche shen,"aut=shen, hsiche%"
autor robyn rice,"aut=rice, robyn%"
autor alicia caamano dosil,"aut=dosil, alicia caamano%"
autor susana caamano docil,"aut=docil, susana caamano%"
autor marta fonseca,"aut=fonseca, marta%"
autor pedro renca,"aut=renca, pedro%"
autor jeanlouis richard,"aut=richard, jeanlouis%"
autor i.c. alarcon gomez,"aut=alarcon gomez, i.c.%"
autor christine faurechazelles,"aut=faurechazelles, christine%"
autor sylvie meaume,"aut=meaume, sylvie%"
autor monica ribeiro,"aut=ribeiro, monica%"
autor irismar oliveira,"aut=oliveira, irismar%"
autor robyn  rice,"aut=rice, robyn%"
autor alexandrina lobo,"aut=lobo, alexandrina%"
autor maria paula santos,"aut=santos, maria paula%"
autor joana carvalho,"aut=carvalho, joana%"
autor nicola petty,"aut=petty, nicola%"
autor armenio cruz,"aut=cruz, armenio%"
autor conceicao  brito,"aut=brito, conceicao%"
autor luis miguel borrego,"aut=borrego, luis miguel%"
autor merck sharp  dohme,"aut=merck sharp  dohme%"
autor alda catela,"aut=catela, alda%"
autor ana pinheiro,"aut=pinheiro, ana%"
autor carlos margato,"aut=margato, carlos%"
autor raul fernandes,"aut=fernandes, raul%"
autor valter silva,"aut=silva, valter%"
autor instituto de formacao em enfermagem,"aut=instituto de formacao em enfermagem%"
autor maria joao tarroso,"aut=tarroso, maria joao%"
autor ana isabel henriques,"aut=henriques, ana isabel%"
autor maria manuela magalhaes,"aut=magalhaes, maria manuela%"
autor maria manuela machado,"aut=machado, maria manuela%"
autor maria da nazare vieira,"aut=vieira, maria da nazare%"
autor fernando petronilho,"aut=petronilho, fernando%"
autor rosa galhardo,"aut=galhardo, rosa%"
autor susana magalhaes,"aut=magalhaes, susana%"
autor carlos lousada subtil,"aut=subtil, carlos lousada%"
autor anabela oliveira,"aut=oliveira, anabela%"
autor filomena mota,"aut=mota, filomena%"
autor gabriela silva,"aut=silva, gabriela%"
autor manuel melo,"aut=melo, manuel%"
autor raul marques,"aut=marques, raul%"
autor daniel martin,"aut=martin, daniel%"
autor maria joao santos,"aut=santos, maria joao%"
autor joao manuel miguel,"aut=miguel, joao manuel%"
autor antonio campos domingues,"aut=domingues, antonio campos%"
autor machado flavia,"aut=flavia, machado%"
autor ellen barker,"aut=barker, ellen%"
autor andreia pereira,"aut=pereira, andreia%"
autor vania cardoso,"aut=cardoso, vania%"
autor jorge biscaia,"aut=biscaia, jorge%"
autor silvia fernandes,"aut=fernandes, silvia%"
autor daniel serrao,"aut=serrao, daniel%"
autor joao carlos loureiro,"aut=loureiro, joao carlos%"
autor isabel milheiro,"aut=milheiro, isabel%"
autor filipa pereira,"aut=pereira, filipa%"
autor alvaro machado,"aut=machado, alvaro%"
autor tania goncalves,"aut=goncalves, tania%"
autor jose eusebio pacheco,"aut=pacheco, jose eusebio%"
autor saul jesus,"aut=jesus, saul%"
autor kate flemming,"aut=flemming, kate%"
autor isabelle fromantin,"aut=fromantin, isabelle%"
autor helene charitansky,"aut=charitansky, helene%"
autor guvenc g.,"aut=g., guvenc%"
autor adelino costa,"aut=costa, adelino%"
autor carla silva,"aut=silva, carla%"
autor liliana ferreira,"aut=ferreira, liliana%"
autor sonia vicente,"aut=vicente, sonia%"
autor vera lucia vicente,"aut=vicente, vera lucia%"
autor cannas kwok,"aut=kwok, cannas%"
autor judith fethney,"aut=fethney, judith%"
autor kate white,"aut=white, kate%"
autor meinan liao,"aut=liao, meinan%"
autor sonia silva,"aut=silva, sonia%"
autor helena moreira,"aut=moreira, helena%"
autor maria cristina canavarro,"aut=canavarro, maria cristina%"
autor m. vasquezcatalayud,"aut=vasquezcatalayud, m.%"
autor r. carrascosagil,"aut=carrascosagil, r.%"
autor cg vivar,"aut=vivar, cg%"
autor lucia macedo,"aut=macedo, lucia%"
autor ana silva,"aut=silva, ana%"
autor silvia pereira,"aut=pereira, silvia%"
autor susan b. hassmiller,"aut=hassmiller, susan b.%"
autor christian dupont,"aut=dupont, christian%"
autor irene kriegel,"aut=kriegel, irene%"
autor maria de  jesus,"aut=jesus, maria de%"
autor marta elias,"aut=elias, marta%"
autor sofia carvalho,"aut=carvalho, sofia%"
autor madalena miranda,"aut=miranda, madalena%"
autor armenia almedia,"aut=almedia, armenia%"
autor francisco oliveira,"aut=oliveira, francisco%"
autor maria emilia ramos,"aut=ramos, maria emilia%"
autor gomes eladio,"aut=eladio, gomes%"
autor jose lima,"aut=lima, jose%"
autor carla castro,"aut=castro, carla%"
autor maribel fernandes,"aut=fernandes, maribel%"
autor maria augusta sousa,"aut=sousa, maria augusta%"
autor carmen diaz naranjo,"aut=naranjo, carmen diaz%"
autor pilar linares fuster,"aut=fuster, pilar linares%"
autor jacques chalifour,"aut=chalifour, jacques%"
autor ana margarida sousa,"aut=sousa, ana margarida%"
autor vania gomes,"aut=gomes, vania%"
autor ana freire,"aut=freire, ana%"
autor elsa menoita,"aut=menoita, elsa%"
autor joana simao,"aut=simao, joana%"
autor telma abreu,"aut=abreu, telma%"
autor carlos testas,"aut=testas, carlos%"
autor vitor santos,"aut=santos, vitor%"
autor ana sofia santos,"aut=santos, ana sofia%"
autor maria do carmo vale,"aut=vale, maria do carmo%"
autor s. garciavelasco,"aut=garciavelasco, s.%"
autor alexandra campos,"aut=campos, alexandra%"
autor paula lobato faria,"aut=faria, paula lobato%"
autor ermelinda silva,"aut=silva, ermelinda%"
autor rocio ruiz segura,"aut=segura, rocio ruiz%"
autor liliana chaves,"aut=chaves, liliana%"
autor luis oliveira,"aut=oliveira, luis%"
autor florbela romao,"aut=romao, florbela%"
autor luisa dias,"aut=dias, luisa%"
autor maria cordeiro,"aut=cordeiro, maria%"
autor maria jesus nadal,"aut=nadal, maria jesus%"
autor h. partsch,"aut=partsch, h.%"
autor mary ann mcclellan,"aut=mcclellan, mary ann%"
autor ana isabel almeida,"aut=almeida, ana isabel%"
autor maria carolina cunha,"aut=cunha, maria carolina%"
autor ana sofia fernandes,"aut=fernandes, ana sofia%"
autor ana isabel costa fontes,"aut=fontes, ana isabel costa%"
autor andreia cristina oliveira santos ferreira,"aut=ferreira, andreia cristina oliveira santos%"
autor hugo lucas,"aut=lucas, hugo%"
autor vanessa pereira,"aut=pereira, vanessa%"
autor cristina santos,"aut=santos, cristina%"
autor jacques sarano,"aut=sarano, jacques%"
autor silvia simoes,"aut=simoes, silvia%"
autor pamela webber,"aut=webber, pamela%"
autor a.s. salgueirooliveira,"aut=salgueirooliveira, a.s.%"
autor s.c. oliveira,"aut=oliveira, s.c.%"
autor george f. shuster,"aut=shuster, george f.%"
autor jean goeppinger,"aut=goeppinger, jean%"
autor isabel renaud,"aut=renaud, isabel%"
autor dora saraiva,"aut=saraiva, dora%"
autor bruna sanna mola,"aut=mola, bruna sanna%"
autor blanca ayerbe igual,"aut=igual, blanca ayerbe%"
autor paula duarte,"aut=duarte, paula%"
autor ana dias costa,"aut=costa, ana dias%"
autor marcia stanhope,"aut=stanhope, marcia%"
autor jeanette lancaster,"aut=lancaster, jeanette%"
autor sigrunn drageset,"aut=drageset, sigrunn%"
