publicado em 2011	dp=2011
publicado depois de 2011	dp>2011
publicado a partir de 2011	dp>=2011
publicado antes de 2011	dp<2011
publicado ate 2011	dp<=2011
publicado excepto em 2011	dp<>2011
publicado mas nao em 2011	dp<>2011
publicado entre 1980 e 2011	dp>=1980 and dp<=2011
publicado no seculo 21  dp=20%
publicado antes do seculo 21    dp<20%
publicado depois do seculo 21	dp>20%
publicado em 2009	dp=2009
publicado depois de 2009	dp>2009
publicado a partir de 2009	dp>=2009
publicado antes de 2009	dp<2009
publicado ate 2009	dp<=2009
publicado excepto em 2009	dp<>2009
publicado mas nao em 2009	dp<>2009
publicado entre 1980 e 2009	dp>=1980 and dp<=2009
publicado em 2010	dp=2010
publicado depois de 2010	dp>2010
publicado a partir de 2010	dp>=2010
publicado antes de 2010	dp<2010
publicado ate 2010	dp<=2010
publicado excepto em 2010	dp<>2010
publicado mas nao em 2010	dp<>2010
publicado entre 1980 e 2010	dp>=1980 and dp<=2010
publicado em	dp=
publicado depois de	dp>
publicado a partir de	dp>=
publicado antes de	dp<
publicado ate	dp<=
publicado excepto em	dp<>
publicado mas nao em	dp<>
publicado entre 1980 e	dp>=1980 and dp<=
publicado no seculo 1	dp=%
publicado antes do seculo 1	dp< %
publicado depois do seculo 1	dp> %
publicado em 1990	dp=1990
publicado depois de 1990	dp>1990
publicado a partir de 1990	dp>=1990
publicado antes de 1990	dp<1990
publicado ate 1990	dp<=1990
publicado excepto em 1990	dp<>1990
publicado mas nao em 1990	dp<>1990
publicado entre 1980 e 1990	dp>=1980 and dp<=1990
publicado no seculo 20	dp=19%
publicado antes do seculo 20	dp<19%
publicado depois do seculo 20	dp>19%
publicado em 2001	dp=2001
publicado depois de 2001	dp>2001
publicado a partir de 2001	dp>=2001
publicado antes de 2001	dp<2001
publicado ate 2001	dp<=2001
publicado excepto em 2001	dp<>2001
publicado mas nao em 2001	dp<>2001
publicado entre 1980 e 2001	dp>=1980 and dp<=2001
publicado em 2007	dp=2007
publicado depois de 2007	dp>2007
publicado a partir de 2007	dp>=2007
publicado antes de 2007	dp<2007
publicado ate 2007	dp<=2007
publicado excepto em 2007	dp<>2007
publicado mas nao em 2007	dp<>2007
publicado entre 1980 e 2007	dp>=1980 and dp<=2007
publicado em 2003	dp=2003
publicado depois de 2003	dp>2003
publicado a partir de 2003	dp>=2003
publicado antes de 2003	dp<2003
publicado ate 2003	dp<=2003
publicado excepto em 2003	dp<>2003
publicado mas nao em 2003	dp<>2003
publicado entre 1980 e 2003	dp>=1980 and dp<=2003
publicado em 1994	dp=1994
publicado depois de 1994	dp>1994
publicado a partir de 1994	dp>=1994
publicado antes de 1994	dp<1994
publicado ate 1994	dp<=1994
publicado excepto em 1994	dp<>1994
publicado mas nao em 1994	dp<>1994
publicado entre 1980 e 1994	dp>=1980 and dp<=1994
publicado em 1995	dp=1995
publicado depois de 1995	dp>1995
publicado a partir de 1995	dp>=1995
publicado antes de 1995	dp<1995
publicado ate 1995	dp<=1995
publicado excepto em 1995	dp<>1995
publicado mas nao em 1995	dp<>1995
publicado entre 1980 e 1995	dp>=1980 and dp<=1995
publicado em 2012	dp=2012
publicado depois de 2012	dp>2012
publicado a partir de 2012	dp>=2012
publicado antes de 2012	dp<2012
publicado ate 2012	dp<=2012
publicado excepto em 2012	dp<>2012
publicado mas nao em 2012	dp<>2012
publicado entre 1980 e 2012	dp>=1980 and dp<=2012
publicado em 2013	dp=2013
publicado depois de 2013	dp>2013
publicado a partir de 2013	dp>=2013
publicado antes de 2013	dp<2013
publicado ate 2013	dp<=2013
publicado excepto em 2013	dp<>2013
publicado mas nao em 2013	dp<>2013
publicado entre 1980 e 2013	dp>=1980 and dp<=2013
publicado em 2014	dp=2014
publicado depois de 2014	dp>2014
publicado a partir de 2014	dp>=2014
publicado antes de 2014	dp<2014
publicado ate 2014	dp<=2014
publicado excepto em 2014	dp<>2014
publicado mas nao em 2014	dp<>2014
publicado entre 1980 e 2014	dp>=1980 and dp<=2014
publicado em 2015	dp=2015
publicado depois de 2015	dp>2015
publicado a partir de 2015	dp>=2015
publicado antes de 2015	dp<2015
publicado ate 2015	dp<=2015
publicado excepto em 2015	dp<>2015
publicado mas nao em 2015	dp<>2015
publicado entre 1980 e 2015	dp>=1980 and dp<=2015
publicado em 1989	dp=1989
publicado depois de 1989	dp>1989
publicado a partir de 1989	dp>=1989
publicado antes de 1989	dp<1989
publicado ate 1989	dp<=1989
publicado excepto em 1989	dp<>1989
publicado mas nao em 1989	dp<>1989
publicado entre 1980 e 1989	dp>=1980 and dp<=1989
publicado em 2016	dp=2016
publicado depois de 2016	dp>2016
publicado a partir de 2016	dp>=2016
publicado antes de 2016	dp<2016
publicado ate 2016	dp<=2016
publicado excepto em 2016	dp<>2016
publicado mas nao em 2016	dp<>2016
publicado entre 1980 e 2016	dp>=1980 and dp<=2016
publicado em 2017	dp=2017
publicado depois de 2017	dp>2017
publicado a partir de 2017	dp>=2017
publicado antes de 2017	dp<2017
publicado ate 2017	dp<=2017
publicado excepto em 2017	dp<>2017
publicado mas nao em 2017	dp<>2017
publicado entre 1980 e 2017	dp>=1980 and dp<=2017
publicado em 1980	dp=1980
publicado depois de 1980	dp>1980
publicado a partir de 1980	dp>=1980
publicado antes de 1980	dp<1980
publicado ate 1980	dp<=1980
publicado excepto em 1980	dp<>1980
publicado mas nao em 1980	dp<>1980
publicado entre 1980 e 1980	dp>=1980 and dp<=1980
publicado em 1965	dp=1965
publicado depois de 1965	dp>1965
publicado a partir de 1965	dp>=1965
publicado antes de 1965	dp<1965
publicado ate 1965	dp<=1965
publicado excepto em 1965	dp<>1965
publicado mas nao em 1965	dp<>1965
publicado entre 1980 e 1965	dp>=1980 and dp<=1965
publicado em 1982	dp=1982
publicado depois de 1982	dp>1982
publicado a partir de 1982	dp>=1982
publicado antes de 1982	dp<1982
publicado ate 1982	dp<=1982
publicado excepto em 1982	dp<>1982
publicado mas nao em 1982	dp<>1982
publicado entre 1980 e 1982	dp>=1980 and dp<=1982
publicado em 1992	dp=1992
publicado depois de 1992	dp>1992
publicado a partir de 1992	dp>=1992
publicado antes de 1992	dp<1992
publicado ate 1992	dp<=1992
publicado excepto em 1992	dp<>1992
publicado mas nao em 1992	dp<>1992
publicado entre 1980 e 1992	dp>=1980 and dp<=1992
publicado em 1988	dp=1988
publicado depois de 1988	dp>1988
publicado a partir de 1988	dp>=1988
publicado antes de 1988	dp<1988
publicado ate 1988	dp<=1988
publicado excepto em 1988	dp<>1988
publicado mas nao em 1988	dp<>1988
publicado entre 1980 e 1988	dp>=1980 and dp<=1988
publicado em 1985	dp=1985
publicado depois de 1985	dp>1985
publicado a partir de 1985	dp>=1985
publicado antes de 1985	dp<1985
publicado ate 1985	dp<=1985
publicado excepto em 1985	dp<>1985
publicado mas nao em 1985	dp<>1985
publicado entre 1980 e 1985	dp>=1980 and dp<=1985
publicado em 2002	dp=2002
publicado depois de 2002	dp>2002
publicado a partir de 2002	dp>=2002
publicado antes de 2002	dp<2002
publicado ate 2002	dp<=2002
publicado excepto em 2002	dp<>2002
publicado mas nao em 2002	dp<>2002
publicado entre 1980 e 2002	dp>=1980 and dp<=2002
publicado em 207	dp=207
publicado depois de 207	dp>207
publicado a partir de 207	dp>=207
publicado antes de 207	dp<207
publicado ate 207	dp<=207
publicado excepto em 207	dp<>207
publicado mas nao em 207	dp<>207
publicado entre 1980 e 207	dp>=1980 and dp<=207
publicado em 2004	dp=2004
publicado depois de 2004	dp>2004
publicado a partir de 2004	dp>=2004
publicado antes de 2004	dp<2004
publicado ate 2004	dp<=2004
publicado excepto em 2004	dp<>2004
publicado mas nao em 2004	dp<>2004
publicado entre 1980 e 2004	dp>=1980 and dp<=2004
publicado em 2018	dp=2018
publicado depois de 2018	dp>2018
publicado a partir de 2018	dp>=2018
publicado antes de 2018	dp<2018
publicado ate 2018	dp<=2018
publicado excepto em 2018	dp<>2018
publicado mas nao em 2018	dp<>2018
publicado entre 1980 e 2018	dp>=1980 and dp<=2018
publicado em 2019	dp=2019
publicado depois de 2019	dp>2019
publicado a partir de 2019	dp>=2019
publicado antes de 2019	dp<2019
publicado ate 2019	dp<=2019
publicado excepto em 2019	dp<>2019
publicado mas nao em 2019	dp<>2019
publicado entre 1980 e 2019	dp>=1980 and dp<=2019
publicado em 2022	dp=2022
publicado depois de 2022	dp>2022
publicado a partir de 2022	dp>=2022
publicado antes de 2022	dp<2022
publicado ate 2022	dp<=2022
publicado excepto em 2022	dp<>2022
publicado mas nao em 2022	dp<>2022
publicado entre 1980 e 2022	dp>=1980 and dp<=2022
publicado em 2021	dp=2021
publicado depois de 2021	dp>2021
publicado a partir de 2021	dp>=2021
publicado antes de 2021	dp<2021
publicado ate 2021	dp<=2021
publicado excepto em 2021	dp<>2021
publicado mas nao em 2021	dp<>2021
publicado entre 1980 e 2021	dp>=1980 and dp<=2021
publicado em 2020	dp=2020
publicado depois de 2020	dp>2020
publicado a partir de 2020	dp>=2020
publicado antes de 2020	dp<2020
publicado ate 2020	dp<=2020
publicado excepto em 2020	dp<>2020
publicado mas nao em 2020	dp<>2020
publicado entre 1980 e 2020	dp>=1980 and dp<=2020
publicado em 2005	dp=2005
publicado depois de 2005	dp>2005
publicado a partir de 2005	dp>=2005
publicado antes de 2005	dp<2005
publicado ate 2005	dp<=2005
publicado excepto em 2005	dp<>2005
publicado mas nao em 2005	dp<>2005
publicado entre 1980 e 2005	dp>=1980 and dp<=2005
publicado em 1960	dp=1960
publicado depois de 1960	dp>1960
publicado a partir de 1960	dp>=1960
publicado antes de 1960	dp<1960
publicado ate 1960	dp<=1960
publicado excepto em 1960	dp<>1960
publicado mas nao em 1960	dp<>1960
publicado entre 1980 e 1960	dp>=1980 and dp<=1960
publicado em 2008	dp=2008
publicado depois de 2008	dp>2008
publicado a partir de 2008	dp>=2008
publicado antes de 2008	dp<2008
publicado ate 2008	dp<=2008
publicado excepto em 2008	dp<>2008
publicado mas nao em 2008	dp<>2008
publicado entre 1980 e 2008	dp>=1980 and dp<=2008
publicado em 2006	dp=2006
publicado depois de 2006	dp>2006
publicado a partir de 2006	dp>=2006
publicado antes de 2006	dp<2006
publicado ate 2006	dp<=2006
publicado excepto em 2006	dp<>2006
publicado mas nao em 2006	dp<>2006
publicado entre 1980 e 2006	dp>=1980 and dp<=2006
publicado em 2023	dp=2023
publicado depois de 2023	dp>2023
publicado a partir de 2023	dp>=2023
publicado antes de 2023	dp<2023
publicado ate 2023	dp<=2023
publicado excepto em 2023	dp<>2023
publicado mas nao em 2023	dp<>2023
publicado entre 1980 e 2023	dp>=1980 and dp<=2023
publicado em 2024	dp=2024
publicado depois de 2024	dp>2024
publicado a partir de 2024	dp>=2024
publicado antes de 2024	dp<2024
publicado ate 2024	dp<=2024
publicado excepto em 2024	dp<>2024
publicado mas nao em 2024	dp<>2024
publicado entre 1980 e 2024	dp>=1980 and dp<=2024
publicado em 1991	dp=1991
publicado depois de 1991	dp>1991
publicado a partir de 1991	dp>=1991
publicado antes de 1991	dp<1991
publicado ate 1991	dp<=1991
publicado excepto em 1991	dp<>1991
publicado mas nao em 1991	dp<>1991
publicado entre 1980 e 1991	dp>=1980 and dp<=1991
publicado em 1998	dp=1998
publicado depois de 1998	dp>1998
publicado a partir de 1998	dp>=1998
publicado antes de 1998	dp<1998
publicado ate 1998	dp<=1998
publicado excepto em 1998	dp<>1998
publicado mas nao em 1998	dp<>1998
publicado entre 1980 e 1998	dp>=1980 and dp<=1998
publicado em 1977	dp=1977
publicado depois de 1977	dp>1977
publicado a partir de 1977	dp>=1977
publicado antes de 1977	dp<1977
publicado ate 1977	dp<=1977
publicado excepto em 1977	dp<>1977
publicado mas nao em 1977	dp<>1977
publicado entre 1980 e 1977	dp>=1980 and dp<=1977
publicado em 1976	dp=1976
publicado depois de 1976	dp>1976
publicado a partir de 1976	dp>=1976
publicado antes de 1976	dp<1976
publicado ate 1976	dp<=1976
publicado excepto em 1976	dp<>1976
publicado mas nao em 1976	dp<>1976
publicado entre 1980 e 1976	dp>=1980 and dp<=1976
publicado em 1983	dp=1983
publicado depois de 1983	dp>1983
publicado a partir de 1983	dp>=1983
publicado antes de 1983	dp<1983
publicado ate 1983	dp<=1983
publicado excepto em 1983	dp<>1983
